id,carat,cut,color,clarity,depth,table,x,y,z,price
190440,0.57,Ideal,E,VS2,60.8,57.0,5.33,5.36,3.25,1882
76688,0.51,Very Good,F,VS2,62.9,57.0,5.05,5.09,3.19,1595
50403,1.06,Premium,G,SI1,62.5,57.0,6.52,6.49,4.06,5487
106198,0.53,Ideal,D,SI1,61.8,56.0,5.18,5.2,3.2,1598
187371,2.13,Premium,I,SI2,61.7,57.0,8.21,8.27,5.09,13483
2576,0.3,Ideal,G,VS2,61.6,56.0,4.34,4.3,2.66,675
31505,0.36,Very Good,E,SI1,63.3,56.0,4.51,4.55,2.87,788
98412,0.71,Premium,D,SI2,62.3,60.0,5.72,5.68,3.56,3525
117223,1.22,Ideal,F,SI1,61.9,55.0,6.79,6.84,4.23,6005
73216,0.3,Premium,D,VS2,61.9,58.0,4.28,4.31,2.66,710
110042,0.3,Ideal,E,IF,62.5,55.0,4.28,4.31,2.69,1044
178009,1.05,Premium,G,VS2,62.5,60.0,6.49,6.46,4.05,6479
104778,0.34,Ideal,D,VS1,62.0,55.0,4.49,4.53,2.8,917
21794,1.01,Very Good,G,VS2,63.3,59.0,6.32,6.29,4.0,5183
109229,0.32,Ideal,E,VVS1,61.7,55.0,4.44,4.42,2.73,1020
174901,0.7,Ideal,I,VS2,61.4,55.0,5.73,5.76,3.53,2264
161560,0.51,Good,E,SI2,63.6,57.0,5.07,5.1,3.24,1250
130537,0.88,Ideal,G,SI1,62.3,56.0,6.15,6.12,3.83,4183
150335,1.0,Premium,E,VS2,61.0,61.0,6.47,6.44,3.93,6517
17798,0.5,Very Good,E,VS2,62.2,57.0,5.06,5.1,3.16,1624
120223,0.51,Ideal,G,VS1,61.4,57.0,5.13,5.17,3.16,1616
183690,1.04,Premium,E,SI2,60.3,61.0,6.58,6.55,3.94,4645
119889,0.71,Premium,F,VS1,62.8,58.0,5.68,5.62,3.55,2879
178206,1.02,Premium,H,SI2,61.2,59.0,6.51,6.47,3.97,4455
120607,0.41,Premium,E,VS1,58.8,59.0,4.87,4.84,2.86,910
180341,1.67,Premium,I,SI2,61.9,59.0,7.65,7.61,4.71,8525
67013,0.71,Very Good,D,SI1,63.1,56.0,5.68,5.71,3.59,2682
132857,1.02,Very Good,D,SI2,63.3,57.0,6.42,6.35,4.05,4478
48718,0.7,Very Good,I,VS2,62.8,58.0,5.64,5.59,3.53,2270
47628,0.35,Ideal,F,VS2,62.7,57.0,4.55,4.52,2.84,906
89429,1.24,Ideal,H,SI1,62.2,57.0,6.9,6.88,4.28,6586
55430,1.09,Ideal,G,VS1,61.2,56.0,6.62,6.65,4.06,7589
105040,1.01,Very Good,D,SI2,63.1,57.0,6.29,6.36,3.99,3823
161449,0.32,Ideal,E,VVS1,61.8,55.0,4.39,4.42,2.72,1114
49741,0.31,Ideal,D,VS2,61.1,56.0,4.37,4.38,2.67,633
23008,0.9,Very Good,I,VS1,62.3,61.0,6.1,6.13,3.81,3484
16998,2.1,Premium,I,SI2,58.9,61.0,8.43,8.37,4.97,12161
37326,0.74,Good,E,SI2,63.3,58.0,5.7,5.74,3.62,2394
97636,1.02,Very Good,H,VS2,63.3,58.0,6.39,6.33,4.02,5698
59197,0.33,Ideal,G,VS1,62.0,56.0,4.4,4.45,2.75,666
